# vi: ts=30 sw=30
i103	Motor 1 Position Loop Feedback Address	Motor Definition I-Variables
i203	Motor 2 Position Loop Feedback Address	Motor Definition I-Variables
i303	Motor 3 Position Loop Feedback Address	Motor Definition I-Variables
i403	Motor 4 Position Loop Feedback Address	Motor Definition I-Variables
i503	Motor 5 Position Loop Feedback Address	Motor Definition I-Variables
i603	Motor 6 Position Loop Feedback Address	Motor Definition I-Variables
i703	Motor 7 Position Loop Feedback Address	Motor Definition I-Variables
i803	Motor 8 Position Loop Feedback Address	Motor Definition I-Variables
i903	Motor 9 Position Loop Feedback Address	Motor Definition I-Variables
i1003	Motor 10 Position Loop Feedback Address	Motor Definition I-Variables
i1103	Motor 11 Position Loop Feedback Address	Motor Definition I-Variables
i1203	Motor 12 Position Loop Feedback Address	Motor Definition I-Variables
i1303	Motor 13 Position Loop Feedback Address	Motor Definition I-Variables
i1403	Motor 14 Position Loop Feedback Address	Motor Definition I-Variables
i1503	Motor 15 Position Loop Feedback Address	Motor Definition I-Variables
i1603	Motor 16 Position Loop Feedback Address	Motor Definition I-Variables
i1703	Motor 17 Position Loop Feedback Address	Motor Definition I-Variables
i1803	Motor 18 Position Loop Feedback Address	Motor Definition I-Variables
i1903	Motor 19 Position Loop Feedback Address	Motor Definition I-Variables
i2003	Motor 20 Position Loop Feedback Address	Motor Definition I-Variables
i2103	Motor 21 Position Loop Feedback Address	Motor Definition I-Variables
i2203	Motor 22 Position Loop Feedback Address	Motor Definition I-Variables
i2303	Motor 23 Position Loop Feedback Address	Motor Definition I-Variables
i2403	Motor 24 Position Loop Feedback Address	Motor Definition I-Variables
i2503	Motor 25 Position Loop Feedback Address	Motor Definition I-Variables
i2603	Motor 26 Position Loop Feedback Address	Motor Definition I-Variables
i2703	Motor 27 Position Loop Feedback Address	Motor Definition I-Variables
i2803	Motor 28 Position Loop Feedback Address	Motor Definition I-Variables
i2903	Motor 29 Position Loop Feedback Address	Motor Definition I-Variables
i3003	Motor 30 Position Loop Feedback Address	Motor Definition I-Variables
i3103	Motor 31 Position Loop Feedback Address	Motor Definition I-Variables
i3203	Motor 32 Position Loop Feedback Address	Motor Definition I-Variables
i104	Motor 1 Velocity Loop Feedback Address	Motor Definition I-Variables
i204	Motor 2 Velocity Loop Feedback Address	Motor Definition I-Variables
i304	Motor 3 Velocity Loop Feedback Address	Motor Definition I-Variables
i404	Motor 4 Velocity Loop Feedback Address	Motor Definition I-Variables
i504	Motor 5 Velocity Loop Feedback Address	Motor Definition I-Variables
i604	Motor 6 Velocity Loop Feedback Address	Motor Definition I-Variables
i704	Motor 7 Velocity Loop Feedback Address	Motor Definition I-Variables
i804	Motor 8 Velocity Loop Feedback Address	Motor Definition I-Variables
i904	Motor 9 Velocity Loop Feedback Address	Motor Definition I-Variables
i1004	Motor 10 Velocity Loop Feedback Address	Motor Definition I-Variables
i1104	Motor 11 Velocity Loop Feedback Address	Motor Definition I-Variables
i1204	Motor 12 Velocity Loop Feedback Address	Motor Definition I-Variables
i1304	Motor 13 Velocity Loop Feedback Address	Motor Definition I-Variables
i1404	Motor 14 Velocity Loop Feedback Address	Motor Definition I-Variables
i1504	Motor 15 Velocity Loop Feedback Address	Motor Definition I-Variables
i1604	Motor 16 Velocity Loop Feedback Address	Motor Definition I-Variables
i1704	Motor 17 Velocity Loop Feedback Address	Motor Definition I-Variables
i1804	Motor 18 Velocity Loop Feedback Address	Motor Definition I-Variables
i1904	Motor 19 Velocity Loop Feedback Address	Motor Definition I-Variables
i2004	Motor 20 Velocity Loop Feedback Address	Motor Definition I-Variables
i2104	Motor 21 Velocity Loop Feedback Address	Motor Definition I-Variables
i2204	Motor 22 Velocity Loop Feedback Address	Motor Definition I-Variables
i2304	Motor 23 Velocity Loop Feedback Address	Motor Definition I-Variables
i2404	Motor 24 Velocity Loop Feedback Address	Motor Definition I-Variables
i2504	Motor 25 Velocity Loop Feedback Address	Motor Definition I-Variables
i2604	Motor 26 Velocity Loop Feedback Address	Motor Definition I-Variables
i2704	Motor 27 Velocity Loop Feedback Address	Motor Definition I-Variables
i2804	Motor 28 Velocity Loop Feedback Address	Motor Definition I-Variables
i2904	Motor 29 Velocity Loop Feedback Address	Motor Definition I-Variables
i3004	Motor 30 Velocity Loop Feedback Address	Motor Definition I-Variables
i3104	Motor 31 Velocity Loop Feedback Address	Motor Definition I-Variables
i3204	Motor 32 Velocity Loop Feedback Address	Motor Definition I-Variables
i105	Motor 1 Master Position Address	Motor Definition I-Variables
i205	Motor 2 Master Position Address	Motor Definition I-Variables
i305	Motor 3 Master Position Address	Motor Definition I-Variables
i405	Motor 4 Master Position Address	Motor Definition I-Variables
i505	Motor 5 Master Position Address	Motor Definition I-Variables
i605	Motor 6 Master Position Address	Motor Definition I-Variables
i705	Motor 7 Master Position Address	Motor Definition I-Variables
i805	Motor 8 Master Position Address	Motor Definition I-Variables
i905	Motor 9 Master Position Address	Motor Definition I-Variables
i1005	Motor 10 Master Position Address	Motor Definition I-Variables
i1105	Motor 11 Master Position Address	Motor Definition I-Variables
i1205	Motor 12 Master Position Address	Motor Definition I-Variables
i1305	Motor 13 Master Position Address	Motor Definition I-Variables
i1405	Motor 14 Master Position Address	Motor Definition I-Variables
i1505	Motor 15 Master Position Address	Motor Definition I-Variables
i1605	Motor 16 Master Position Address	Motor Definition I-Variables
i1705	Motor 17 Master Position Address	Motor Definition I-Variables
i1805	Motor 18 Master Position Address	Motor Definition I-Variables
i1905	Motor 19 Master Position Address	Motor Definition I-Variables
i2005	Motor 20 Master Position Address	Motor Definition I-Variables
i2105	Motor 21 Master Position Address	Motor Definition I-Variables
i2205	Motor 22 Master Position Address	Motor Definition I-Variables
i2305	Motor 23 Master Position Address	Motor Definition I-Variables
i2405	Motor 24 Master Position Address	Motor Definition I-Variables
i2505	Motor 25 Master Position Address	Motor Definition I-Variables
i2605	Motor 26 Master Position Address	Motor Definition I-Variables
i2705	Motor 27 Master Position Address	Motor Definition I-Variables
i2805	Motor 28 Master Position Address	Motor Definition I-Variables
i2905	Motor 29 Master Position Address	Motor Definition I-Variables
i3005	Motor 30 Master Position Address	Motor Definition I-Variables
i3105	Motor 31 Master Position Address	Motor Definition I-Variables
i3205	Motor 32 Master Position Address	Motor Definition I-Variables
i106	Motor 1 Position Following Enable and Mode	Motor Definition I-Variables
i206	Motor 2 Position Following Enable and Mode	Motor Definition I-Variables
i306	Motor 3 Position Following Enable and Mode	Motor Definition I-Variables
i406	Motor 4 Position Following Enable and Mode	Motor Definition I-Variables
i506	Motor 5 Position Following Enable and Mode	Motor Definition I-Variables
i606	Motor 6 Position Following Enable and Mode	Motor Definition I-Variables
i706	Motor 7 Position Following Enable and Mode	Motor Definition I-Variables
i806	Motor 8 Position Following Enable and Mode	Motor Definition I-Variables
i906	Motor 9 Position Following Enable and Mode	Motor Definition I-Variables
i1006	Motor 10 Position Following Enable and Mode	Motor Definition I-Variables
i1106	Motor 11 Position Following Enable and Mode	Motor Definition I-Variables
i1206	Motor 12 Position Following Enable and Mode	Motor Definition I-Variables
i1306	Motor 13 Position Following Enable and Mode	Motor Definition I-Variables
i1406	Motor 14 Position Following Enable and Mode	Motor Definition I-Variables
i1506	Motor 15 Position Following Enable and Mode	Motor Definition I-Variables
i1606	Motor 16 Position Following Enable and Mode	Motor Definition I-Variables
i1706	Motor 17 Position Following Enable and Mode	Motor Definition I-Variables
i1806	Motor 18 Position Following Enable and Mode	Motor Definition I-Variables
i1906	Motor 19 Position Following Enable and Mode	Motor Definition I-Variables
