# vi: ts=30 sw=30
i79	MACRO Type 1 Master/Master Communications Timeout	MACRO Ring Configuration I-Variables	74
i80	MACRO Ring Check Period	MACRO Ring Configuration I-Variables	74
i81	MACRO Maximum Ring Error Count	MACRO Ring Configuration I-Variables	75
i82	MACRO Minimum Sync Packet Count	MACRO Ring Configuration I-Variables	75
i83	MACRO Parallel Ring Enable Mask	MACRO Ring Configuration I-Variables	75
i84	MACRO IC # for Master Communications	MACRO Ring Configuration I-Variables	76
i85	MACRO Ring Order Number	MACRO Ring Configuration I-Variables	76
i90	VME Address Modifier	VME/DPRAM Setup I-Variables	77
i91	VME Address Modifier Don’t Care Bits	VME/DPRAM Setup I-Variables	77
i92	VME Base Address Bits A31-A24	VME/DPRAM Setup I-Variables	77
i93	VME Mailbox Base Address Bits A23-A16 ISA DPRAM Base Address Bits A23-A16	VME/DPRAM Setup I-Variables	78
i94	VME Mailbox Base Address Bits A15-A08 ISA DPRAM Base Address Bits A15-A14 & Control	VME/DPRAM Setup I-Variables	78
i95	VME Interrupt Level	VME/DPRAM Setup I-Variables	79
i96	VME Interrupt Vector	VME/DPRAM Setup I-Variables	79
i97	VME DPRAM Base Address Bits A23-A20	VME/DPRAM Setup I-Variables	80
i98	VME DPRAM Enable	VME/DPRAM Setup I-Variables	80
i99	VME Address Width Control	VME/DPRAM Setup I-Variables	80
i100	Motor 1 Activation Control	Motor Definition I-Variables	81
i200	Motor 2 Activation Control	Motor Definition I-Variables	81
i300	Motor 3 Activation Control	Motor Definition I-Variables	81
i400	Motor 4 Activation Control	Motor Definition I-Variables	81
i500	Motor 5 Activation Control	Motor Definition I-Variables	81
i600	Motor 6 Activation Control	Motor Definition I-Variables	81
i700	Motor 7 Activation Control	Motor Definition I-Variables	81
i800	Motor 8 Activation Control	Motor Definition I-Variables	81
i900	Motor 9 Activation Control	Motor Definition I-Variables	81
i1000	Motor 10 Activation Control	Motor Definition I-Variables	81
i1100	Motor 11 Activation Control	Motor Definition I-Variables	81
i1200	Motor 12 Activation Control	Motor Definition I-Variables	81
i1300	Motor 13 Activation Control	Motor Definition I-Variables	81
i1400	Motor 14 Activation Control	Motor Definition I-Variables	81
i1500	Motor 15 Activation Control	Motor Definition I-Variables	81
i1600	Motor 16 Activation Control	Motor Definition I-Variables	81
i1700	Motor 17 Activation Control	Motor Definition I-Variables	81
i1800	Motor 18 Activation Control	Motor Definition I-Variables	81
i1900	Motor 19 Activation Control	Motor Definition I-Variables	81
i2000	Motor 20 Activation Control	Motor Definition I-Variables	81
i2100	Motor 21 Activation Control	Motor Definition I-Variables	81
i2200	Motor 22 Activation Control	Motor Definition I-Variables	81
i2300	Motor 23 Activation Control	Motor Definition I-Variables	81
i2400	Motor 24 Activation Control	Motor Definition I-Variables	81
i2500	Motor 25 Activation Control	Motor Definition I-Variables	81
i2600	Motor 26 Activation Control	Motor Definition I-Variables	81
i2700	Motor 27 Activation Control	Motor Definition I-Variables	81
